,test_image,response,resptime,observer,group,type,noise
121,orig2p7.png,7.0,0.786339,Person4,mittel Detailgrad,Original,0
125,orig2p3.png,7.0,1.685864,Person4,mittel Detailgrad,Original,0
154,orig2p9.png,7.0,0.836175,Person4,mittel Detailgrad,Original,0
185,orig2p6.png,6.0,0.944482,Person4,mittel Detailgrad,Original,0
206,orig2p4.png,5.0,2.132896,Person4,mittel Detailgrad,Original,0
278,orig2p2.png,7.0,0.939312,Person4,mittel Detailgrad,Original,0
304,orig2p8.png,7.0,0.898939,Person4,mittel Detailgrad,Original,0
309,orig2p5.png,7.0,0.86534,Person4,mittel Detailgrad,Original,0
44,orig2p10.png,9.0,1.417986,Person5,mittel Detailgrad,Original,0
115,orig2p1.png,7.0,3.087027,Person5,mittel Detailgrad,Original,0
121,orig2p7.png,10.0,2.244261,Person5,mittel Detailgrad,Original,0
125,orig2p3.png,10.0,3.903517,Person5,mittel Detailgrad,Original,0
154,orig2p9.png,7.0,0.933154,Person5,mittel Detailgrad,Original,0
185,orig2p6.png,10.0,1.098018,Person5,mittel Detailgrad,Original,0
206,orig2p4.png,7.0,5.360036,Person5,mittel Detailgrad,Original,0
278,orig2p2.png,9.0,1.333661,Person5,mittel Detailgrad,Original,0
304,orig2p8.png,10.0,5.034969,Person5,mittel Detailgrad,Original,0
309,orig2p5.png,8.0,0.944493,Person5,mittel Detailgrad,Original,0
53,orig2p9.png,10.0,1.119694,Person6,mittel Detailgrad,Original,0
59,orig2p2.png,10.0,3.616073,Person6,mittel Detailgrad,Original,0
84,orig2p5.png,8.0,1.989179,Person6,mittel Detailgrad,Original,0
121,orig2p8.png,8.0,1.61468,Person6,mittel Detailgrad,Original,0
138,orig2p1.png,8.0,2.128304,Person6,mittel Detailgrad,Original,0
160,orig2p6.png,9.0,1.613686,Person6,mittel Detailgrad,Original,0
216,orig2p7.png,7.0,6.15987,Person6,mittel Detailgrad,Original,0
229,orig2p3.png,8.0,1.144955,Person6,mittel Detailgrad,Original,0
248,orig2p10.png,8.0,1.351401,Person6,mittel Detailgrad,Original,0
351,orig2p4.png,7.0,1.399916,Person6,mittel Detailgrad,Original,0
9,orig3p6.png,10.0,0.797478,Person1,wenig Detailgrad,Original,0
33,orig3p8.png,10.0,1.839256,Person1,wenig Detailgrad,Original,0
34,orig3p9.png,10.0,1.488723,Person1,wenig Detailgrad,Original,0
48,orig3p7.png,10.0,2.254339,Person1,wenig Detailgrad,Original,0
112,orig3p2.png,10.0,0.965841,Person1,wenig Detailgrad,Original,0
217,orig3p1.png,10.0,0.741215,Person1,wenig Detailgrad,Original,0
232,orig3p4.png,10.0,2.302266,Person1,wenig Detailgrad,Original,0
265,orig3p5.png,10.0,2.929606,Person1,wenig Detailgrad,Original,0
269,orig3p3.png,10.0,1.031535,Person1,wenig Detailgrad,Original,0
322,orig3p10.png,10.0,1.498558,Person1,wenig Detailgrad,Original,0
25,orig3p1.png,10.0,1.693053,Person2,wenig Detailgrad,Original,0
31,orig3p9.png,8.0,3.510764,Person2,wenig Detailgrad,Original,0
45,orig3p10.png,8.0,2.303557,Person2,wenig Detailgrad,Original,0
73,orig3p8.png,9.0,1.590684,Person2,wenig Detailgrad,Original,0
123,orig3p7.png,9.0,1.940712,Person2,wenig Detailgrad,Original,0
143,orig3p6.png,10.0,1.34296,Person2,wenig Detailgrad,Original,0
225,orig3p5.png,4.0,1.891182,Person2,wenig Detailgrad,Original,0
299,orig3p2.png,10.0,0.787911,Person2,wenig Detailgrad,Original,0
319,orig3p4.png,10.0,1.556412,Person2,wenig Detailgrad,Original,0
505,orig3p3.png,10.0,1.362086,Person2,wenig Detailgrad,Original,0
12,orig3p1.png,9.0,2.124397,Person3,wenig Detailgrad,Original,0
